delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
ZDRAVSTVENA NEGA,435856,MEDVODE,7.0,8.13,Iščejo študenta/ko zdravstvene nege (zaželen absolvent/ka) za pomoč v otroško šolskem dispanzerju. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V ORODJARNI,435855,CELJE,6.2,7.21,"Iščejo polnoletno osebo za delo na strojih za brizganje plastike, vizualni pregled izdelkov, pakiranje, priprava materiala, obrezovanje izdelkov ter ostalo po navodilih.  Pogoj je natančnost pri delu. Delo poteka v treh izmenah, po dogovoru in potrebi. ",1,PO DOGOVORU,IZMENSKO,2. 9. 2024
STREŽBA HRANE IN PIJAČE,435854,LJUBLJANA,8.0,9.3,V centru Ljubljane iščejo pridnega in zanesljivega študenta/ko za delo v strežbi. Zaželene so izkušnje s strežbo hrane in pijače. Kolektiv je majhen in prijeten. Delovni čas lokala je od ponedeljka do nedelje od 12. 00 do 22. 00.   ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2024
DELO V KAVARNI,435851,KOPER,6.6,7.67,"Podjetje išče primerno osebo za pomoč v strežbi, delo za šankom - pomivanje steklovine, pomoč pri strežbi na rajonu in druga pomožna dela. Možnost povišanja urne postavke. ",1,PO DOGOVORU,PO DOGOVORU,29. 8. 2024
KNJIGOVODSKA DELA,435850,SEŽANA,coerce,coerce,"Potrebujejo osebo za pomoč v računovodstvu, zaželen študent/ka ekonomije ali podobno področje študija,   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
ELEKTROINŠTALACIJE,435849,VELIKE LAŠČE - LJUBLJANA,7.74,9.0,"Iščejo študenta/ko elektrotehnike iz okolice Velikih Lašč ali Ljubljane.  Delo se večinoma izvaja v Ljubljani, možnost dela ob študiju po dogovoru.  Dela so terenska na novogradnjah in adaptacijah, večinoma se izvaja električne inštalacije v stanovanjskih objektih. V ekipi sta dva električarja, ki rada delita el. znanje naprej, tako da pričakujejo osebo, ki jo zanima el. stroka. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
DELO NA TERENU,435848,GORENJSKA IN OSREDNJA SLOVENIJA,9.5,11.04,"Podjetje išče osebe za fizična dela. Delo obsega: gradnjo brežin itd. Delo je terensko, dela se na območju Gorenjske in osrednje Slovenije (Ljubljana), start iz sedeža podjetja. Topla malica vključena. Pričakuje se pridnost, iznajdljivost in vzdržljivost ter izpit B kategorije. Priporočene so izkušnje s terenskim delom ter starost vsaj 20 let. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,28. 8. 2024
IZDAJA BLAGA,435847,BRNIK,7.14,8.3,"Podjetje išče osebe za delo v skladišču. Delovno mesto zajema prevzemanje, skladiščenje in izdajanje blaga, urejanje delovnega okolja, delo s čitalcem. Možna kasnejša redna zaposlitev. Pogoj sta lastni prevoz in možnost opravljanje dela v dveh izmenah, ko je to potrebno. Pošljite prijavo. ",3,PO DOGOVORU,IZMENSKO,26. 8. 2024
KOZMETIČNE STORITVE,435846,DOMŽALE,8.0,9.3,Nudijo delo za podaljševanje nohtov in podaljševanje trepalnic v kozmetičnem salonu.   Pogoj so izkušnje. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
PAKIRANJE,435845,LJUBLJANA ŠIŠKA,7.0,8.13,"Delo zajema pranje in pakiranje zelenjave. Zaželena zanesljivost, resnost do dela in občutek za higieno. Delo poteka v dopoldanskem času med tednom nekaj ur dnevno (po potrebi in dogovoru). Delovno okolje je urejeno in sproščeno. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
LAŽJA FIZIČNA DELA IN DELO NA TERENU,435844,PODRAVJE,7.5,8.72,"Lažja gradbena dela - prenos materiala na gradbišču, nalaganje, prelaganje, barvanje, ipd. Dela se po potrebi in dogovoru. Resni kandidati pokličite. ",1,PO DOGOVORU,DOPOLDAN,26. 8. 2024
STREŽBA,435843,MARIBOR,8.0,9.3,Strežba v baru na bencinskem servisu. Lokal je med tednom odprt od 6. do 22. ure in ob nedeljah od 7. do 21. ure. Delo poteka po dogovoru in potrebi. Zaželene so izkušnje. Poleg urne postavke vam pripada tudi stimulacija. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
PRODAJA,435842,MARIBOR,6.88,8.0,"Potrebujejo osebo za delo v nogometni trgovini. Gre za delo na blagajni, svetovanje in pomoč strankam, zlaganje na police, skrb za red in čistočo, pripravo in pakiranje spletnih naročil in ostala dela v trgovini. Zaželena je najmanj IV. stopnja izobrazbe, računalniška pismenost, komunikativnost, ambicioznost, veselje do dela v trgovini in veselje do dela z ljudmi. Prednost imajo kandidati, ki jim nogomet predstavlja posebno strast v življenju.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
DELO V LOTERIJI,435841,LJUBLJANA RUDNIK,7.0,8.13,"Podjetje išče polnoletno osebo za prodajo iger na srečo. Delo bo potekalo 2-3x tedensko v popoldanskem času, po potrebi in dogovoru. Pogoja sta komunikativnost in vestnost. Zaželene so izkušnje pri delu z denarjem. Pošlji e-prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
STREŽBA,435840,BUKOVCI,7.0,8.13,"Za delo v strežbi v prijetnem lokalu potrebujejo pomoč polnoletne, komunikativne in zanesljive osebe. Odpiralni čas je med tednom od 6. do 22. ure, v petek do 24. ure, ob sobotah od 7. do 24. ter ob nedeljeh do 13. ure. Interesenti naj prijavo oddajo s klikom na gumb Prijavi se na delo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
PRODAJA,435839,NOVA GORICA,6.2,7.21,"Podjetje išče primerni osebi za pomoč pri prodaji dodatne opreme za telefone, kot so: ovitki, zaščitna stekla, zvočniki, slušalke . . . Delo zajema prodajo na blagajni in sprejemanje naročil. Pogoj je starost nad 18 let. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
RAČUNOVODSKA DELA,435837,LJUBLJANA - VIČ,8.0,9.3,"Knjiženje, obračun plač/drugih izplačil fiz. osebam, priprava računov, davčnih poročil idr.   Pogoji: vpisana 2. bol. st., smer računovodstvo/revizija/druga ustr. smer, samostojnost, natančnost, želja po učenju, prevzemanje odgovornosti, usmerjenost k strankam, znanje ang. jezika, dobro znanje orodij MS Office in znanje programov Oppis/Pantheon.   Prednost: ima oseba, ki ima izkušnje z obračunom plač. Prijavi dodajte CV in kratko motivacijsko pismo. Možnost kasnejše redne zaposlitve. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,9. 9. 2024
ADMINISTRATIVNA DELA,435836,LJUBLJANA,7.0,8.13,"Potrebujejo polnoletno osebo za pomoč pri pripravi paketov iz skladišča in za administrativna dela. Do decembra poteka delo dva do tri krat mesečno, vse po potrebi in dogovoru. Za dodatne informacije pokličite ali pišite.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2024
POMOČ PRI PRODAJI,435835,LJUBLJANA ŠIŠKA,6.2,7.21,"Iščejo motivirane in odgovorne študente/ke, ki si želijo pridobiti dragocene izkušnje v dinamičnem in ustvarjalnem okolju. Pričakujejo: pridnost, zanesljivost, prilagodljivost, sposobnost dela v timu, vestnost, pozornost do detajlov, sposobnost hitrega učenja in prilagajanja različnim delovnim nalogam. Ponujajo: priložnost za pridobitev praktičnih izkušenj, prijetno in dinamično delovno okolje, možnost dolgoročnega občasnega sodelovanja in razvoja znotraj podjetja",4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V PROIZVODNJI,435834,KOMENDA,8.35,9.7,"Potrebujejo študenta/ki za delo v proizvodnji na oddelku montaže in tiskarne (zlaganje kosov s traku v škatle). Delovnik je v dveh izmenah, po potrebi in dogovoru, popoldanska (med 14. 00 in 22. 00) in dopoldanska (med 6. 00 in 14. 00). Pogoj starost nad 18 let, lasten prevoz - zelo zaželeno. Delo je namenjeno samo resnim kandidatom. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,26. 8. 2024
POMOČ PRI DELU TEHNOLOGIJE,435833,LJUBLJANA,7.74,9.0,"Farmacevtsko podjetje potrebuje polnoletno osebo naravoslovne smeri študija (kemija, farmacija) za strokovna dela na področju procesne tehnologije (podpora pri izdelavi in reviziji elektronskih proizvodnih postopkov za proizvodnjo trdnih farmacevtskih oblik). E-prijavi priloži tudi CV tako v slovenskem kot anglešlem jeziku. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
DELO V KUHINJI,435832,PIRAN,9.0,10.46,"Podjetje išče primerni osebi za delo v kuhinji kot pomočnika kuharja. Izkušnje zaželene, niso pa nujne. Nagrada za uspešnost. Pogoj je starost nad 18 let. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ V KUHINJI,435831,PIRAN,8.0,9.3,"Podjetje išče primerni osebi za pomoč v kuhinji: pomivanje posode, skrb za čistočo, rezanje zelenjave. . . Izkušnje zaželene, niso pogoj. Nagrada za uspešnost. Pogoj je starost nad 18 let. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
KADROVSKA DELA,435830,IVANČNA GORICA,8.0,9.3,"Za pomoč v kadrovski službi iščejo absolventa/ko visokošolskega študija - smeri: kadrovski management ali upravno poslovanje ali delovno pravo. Delo obsega: priprava pogodb o zaposlitvi, prijave in odjave delavcev v obvezna zavarovanja, sporazumi o prenehanju delovnega razmerja, odpovedi, pridobivanje delovnih dovoljenj za tujce in druge dokumente, ki jih tujci potrebujejo pri delu. Izkušnje niso potrebne, so pa zaželene kakršne koli izkušnje v administraciji in veselje do tovrstnega dela. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2024
STREŽBA,435829,PIRAN,9.0,10.46,"Podjetje išče primerni osebi za strežbo pijače in hrane ter pripravo toplih in hladnih napitkov. Izkušnje zaželene, niso pogoj. Nagrada za uspešnost. Pogoj je starost nad 18 let. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
ANKETIRANJE PO TELEFONU,435828,ŠKOFJA LOKA,8.5,9.88,"Iščejo zanesljiva, odgovorna in komunikativna študenta/ki za izvajanje kratkih anket preko telefona za njihovega naročnika s področja mobilne telefonije. Izkušnje niso potrebne. Pričetek dela takoj. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
REVIZIJA,435827,LJUBLJANA,6.88,8.0,"Ekipa izkušenih strokovnjakov Notranje revizije išče motiviranega študenta/ko, ki bo pomagal/a pri revizijskem delu na področju računovodstva, kontrolinga, kapitala banke, nabavne funkcije, upravljanja operativnih tveganj v banki in skupini. V kolikor ste se že srečali z revizijskim delom ali vas to delo veseli, ste vljudno vabljeni, da se jim javite. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
POUČEVANJE,435826,SEŽANA,12.0,13.95,"Imaš veliko veselja do dela z otroki in tekoče znanje angleščine? Živiš v Sežani ali okolici? Iščejo študentko/ta za poučevanje angleščine v starostni skupini od 1 do 19 let po metodi Helen Doron English. Tečaji potekajo v popoldanskem času, od 15. 30 naprej. Nujno je tekoče znanje angleščine in izkušnje pri delu z otroki, idealno pa je, da si absolvent/ka angleščine. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
STREŽBA HRANE IN PIJAČE,435825,LJUBLJANA,8.15,9.47,Postani del prijetnega kolektiva v središču Ljubljane. Podjetje išče delavne in prijazne študente/ke za delo v šanku. Zaželene so izkušnje v strežbi ter obvezno znanje slovenskega in angleškega jezika. Minimalna starost kandidatov je 18 let. Možnost kasnejše redne zaposlitve. ,3,PO DOGOVORU,IZMENSKO,po dogovoru
DOSTAVA,435824,LJUBLJANA IN TEREN PO SLOVENIJI,8.0,9.3,"Iščejo polnoletno osebo (m/ž) za daljše občasno sodelovanje, ki bi dostavljal/a in pobiral/a pošiljke po Sloveniji. Pogoj je vozniški izpit B kategorije. Pišite jim samo resni. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
POUČEVANJE,435823,LJUBLJANA,8.0,9.3,Iščejo osebo za poučevanje matematike in fizike v osnovni šoli. Za več informacij pošlji prijavo. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,4. 11. 2024
STREŽBA HRANE IN PIJAČE,435822,VOLČJA DRAGA,8.0,9.3,"Iščejo izkušeno osebo za pomoč v strežbi. Nudijo fleksibilen delovni čas, prilagojen študentskim obveznostim. Urna postavka za tiste, ki strežejo hrano a la carte je 11,62 € bruto, za izkušene je 10,46 € bruto, za začetnike pa 9,30 € bruto. Prijavi se in postani del super ekipe. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,9. 9. 2024
POMOČ PRI PRODAJI,435821,JESENICE,6.2,7.21,Podjetje išče študenta/ko za pomoč pri prodaji v trgovini z oblačili in izdelki za dom. Pogoj je starost nad 18 let. ,1,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
OSEBNA ASISTENCA,435820,KOPER,7.31,8.5,"Iščejo osebi za pomoč uporabnici osebne asistence. Urnik je od ponedeljka do petka med 9. in 14. uro - občasno, po dogovoru in potrebi in traja do 14. 9. 2024. Delo zajema pomoč pri gospodinjskih opravilih (kuhanje, čiščenje, pospravljanje) in spremstvo pri opravkih zunaj stanovanja. Potreben je čut za delo z ljudmi, empatija in potrpežljivost. Interesenti naj prijavo oddajo s klikom na gumb Prijavi se na delo. ",2,DO 14. 9. 2024,DOPOLDAN,po dogovoru
ANIMATOR/KA,435819,KAMNIK,7.74,9.0,Iščejo kandidate/ke za nošenje maskot in animacijo pri osnovnih šolah v Kamniku prve šolske dni v septembru.   ,3,DO 6. 9. 2024,DOPOLDAN,2. 9. 2024
POMOČ V STREŽBI,435817,LENART V SLOVENSKIH GORICAH,7.0,8.13,"Iščejo študente/ke, ki imajo radi/e športno vzdušje, nasmeh na obrazu in vejo kako z vrčkom v roki postreči gostom. Kje? V športnem lokalu, kjer se zbirajo navdušeni športniki, kjer se igra pikado in namizni nogomet ter kjer je vzdušje vedno polno dobre energije. Kaj boš počel/a? Skrbel/a za zadovoljstvo gostov s postrežbo pijače in prigrizkov ter občasno pokazal/a svojo mojstrstvo pri igri pikada. Kaj nudijo? Popoldansko delo v prijetnem športnem okolju, fleksibilen urnik in nepozabne izkušnje. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,4. 9. 2024
UREJANJE SPLETNE TRGOVINE,435816,LJUBLJANA,6.5,7.55,"Pomoč pri razvoju projekta. Fizična pomoč na dogodkih, pri prodaji izdelkov na sejmih in dogodkih, pomoč pri pripravi objav in kreativ ter upravljanju družabnih omrežij, pomoč pri pripravi vsebin za spletno stran, pri skrbi za spletno trgovino ter urejanju administracije. Iščejo študenta/ko, ki ga/jo zanima organizacija dogodkov, projektno načrtovanje, start up podjetništvo. Oseba naj bo komunikativna in kreativna. Izkušnje niso pogoj, so pa zaželene. ",1,PO DOGOVORU,PO DOGOVORU,16. 9. 2024
DELO V PROIZVODNJI,435814,MARIBOR,6.2,7.21,"Iščejo študente/ke za preprosta dela v proizvodnji, delo na stiskalnicah. V dopoldanski izmeni je organizirana malica. Plačajo tudi prevoz. ",5,PO DOGOVORU,IZMENSKO,29. 8. 2024
DELO NA RECEPCIJI,435813,LJUBLJANA,6.2,7.21,"Iščejo osebo za delo na recepciji osnovne šole (sprejemanje strank, pomoč hišniku, ter delo z učenci). Nudijo malico in kosilo. Prijave na e-mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ V TRGOVINI,435812,LJUBLJANA,7.12,8.28,"Potrebujejo polnoletne osebe za pomoč v trgovini z oblačili priznanih blagovnih znamk in dodatki. Iščejo zanesljive in odgovorne osebe, ki so pripravljene, po potrebi in dogovoru delati tudi ob vikendih. Če te zanima sodelovanje z najbolj znanimi svetovnimi znamkami jeansa, prijavo z življenjepisom in s pripisom kraja dela (Ljubljana) oddaj s klikom na gumb Prijavi se na delo. ",4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO NA TERENU IN V SERVISU,435811,LJUBLJANA,7.5,8.72,"V podjetju, ki se ukvarja z energetskimi rešitvami, potrebujejo pomoč v servisni ekipi na terenu. Delo bo načeloma trajalo cca dva tedna, po dogovoru pa se z delom lahko nadaljuje tudi tekom leta. ",1,PO DOGOVORU,DOPOLDAN,26. 8. 2024
STREŽBA,435810,KAMNIK,10.0,11.62,"Iščejo študente ali študentke za delo v strežbi, kateri se nahaja na bencinskem servisu v Kamniku. Pošlji prijavo. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PROCESIRANJE SPLETNIH NAROČIL,435809,CELJE,6.88,8.0,"Iščejo polnoletni osebi za pomoč v trgovini. Delo bo obsegalo natančno in hitro nabiranje naročenih artiklov (storitev Hitri nakup - storitev za nakup živil preko spleta) in komunikacijo s strankami. Iščejo natančne, zanesljive, odgovorne, komunikativne, proaktivne in samostojne sodelavce/ke. Delo poteka dvoizmensko, večinoma ob sredah, petkih in sobotah. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČ PRI PRODAJI,435808,LOGATEC,6.93,8.05,"Uspešno trgovsko podjetje ti ponuja možnost dela v super kolektivu, kjer lahko dobro zaslužiš in dobiš veliko izkušenj na področju dela v trgovini. Nudijo ti prilagodljiv urnik, ki ti omogoča prilagajanje študijskim obveznostim. Če meniš, da si zanesljiva oseba, ki ji je mar za čistočo in red, ne odlašaj s prijavo in se jim pridruži. Pogoj za delo je starost nad 18 let. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ V STREŽBI,435807,ŠENTJUR,7.0,8.13,"V prijetnem kolektivu na bencinskem servisu v Šentjurju iščejo študenta/ki za pomoč v strežbi. Pomoč potrebujejo za daljše časovno obdobje, po dogovoru in potrebi. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
POMOČ V KUHINJI,435806,LJUBLJANA,7.74,9.0,"Iščejo osebe za delo na blagajni (komunikacija z gosti, priprava in izdaja naročil) in vsestranska pomoč v kuhinji (priprava burgerjev, solat in prilog, predpriprava in priprava edinstvenega super hrustljavega piščanca, sprejemanje in zlaganje robe, skrb za čistočo delovne postaje) priznane restavracije s hitro prehrano. ",20,PO DOGOVORU,IZMENSKO,26. 8. 2024
VADITELJ/ICA,435805,LJUBLJANA,12.0,13.95,"Iščejo pomočnika/ci vaditelja/ici za vadbo v gibalnih programih za predšolske otroke, od 3. leta naprej. Prednost imajo študentje/ke Fakultete za šport ali Pedagoške fakultete. Delo bo potekalo med tednom med 17. in 19. uro, po potrebi in dogovoru. Prijave sprejemajo elektronsko. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
POUČEVANJE,435804,LJUBLJANA,12.05,14.0,"V jezikovnem centru iščejo študenta/ki za izvajanje jezikovnih tečajev hrvaškega jezika. Pogoji: zaključena prva stopnja in predhodne izkušnje s poučevanjem. Vabljeni v mlad tim, vpet v mednarodno okolje, z zanimivimi projekti in poučevanjem v jezikovnem centru in na podjetjih. ",2,PO DOGOVORU,PO DOGOVORU,2. 9. 2024
RISANJE NAČRTOV,435803,MARIBOR ALI OD DOMA,7.4,8.6,"Iščejo študenta/ko za izris enostavnih načrtov v programu ACAD. Delo bo potekalo občasno (odvisno od naročil). Študent/ka ni vezan/a na uro prihoda/odhoda v službo, delo je lahko tudi od doma. Za več informacij jih pokličite ali jim pišite na e-mail. ",1,PO DOGOVORU,DOPOLDAN,po dogovoru
ANIMATOR/KA,435801,LJUBLJANA ŠIŠKA,7.12,8.28,"Študiraš na Fakulteti za šport ali na Pedagoški fakulteti in te zanima delo animatorja v igralnici in trampolin parku? Iščejo zanesljiv, zabaven, sproščen in strokoven kader za delo ob popoldnevih in/ali med vikendi, po potrebi in dogovoru. K prijavi vabijo resne interesente. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435800,LJUBLJANA,8.0,9.3,"Kadrovsko podjetje išče študenta/ko za pomoč pri administrativnih delih in različnih delih v pisarni (vnos podatkov, izpolnjevanje dokumentov).  Delo v dopoldanskem času, delovnik po dogovoru s podjetjem. Pogoji: tekoče znanje slovenskega jezika, poznavanje MS Office, natančnost in samostojnost. Pošlji CV in predstavitveno pismo. Začetek dela po dogovoru. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,16. 9. 2024
ADMINISTRATIVNA DELA,435799,MENGEŠ,7.31,8.5,"Iščejo polnoletnega kandidata/ko za tajniško delo. Če si organiziran/a, komunikativen/a in imaš osnovno znanje dela z računalnikom, te vabijo, da se jim pridružiš. Delo vključuje administrativna opravila, urejanje dokumentacije in podporo pri vsakodnevnem delovanju pisarne. Obvezno je aktivno znanje SLO in ANG jezika ter vozniški izpit B. kategorije.  Delo se opravlja v Mengšu in občasno v Ljubljani. Prošnja + CV na mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
DELO V SLAŠČIČARNI,435798,LJUBLJANA KOSEZE,6.2,7.21,"Pomoč z delom v strežbi v slaščičarni. Izkušnje so zaželene, niso pa pogoj.     ",2,PO DOGOVORU,PO DOGOVORU,po dogovoru
STREŽBA,435797,LJUBLJANA,7.7,8.95,"Iščejo polnoletnega študenta ali študentko, za delo v strežbi. Vikende in praznike imajo zaprto. Pogoj: tekoče znanje slovenskega jezika.  Pošlji prijavo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
BLAGAJNIK,435796,VRHNIKA,8.61,10.0,Iščejo študenta/ko za delo na blagajni. Pogoj je polnoletnost. ,1,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ V SKLADIŠČU IN PROD. CENTRIH,435795,LJUBLJANA - ČRNUČE,8.0,9.3,"Iščejo pomoč v skladišču gradbenega materiala. Delo zajema predvsem zlaganje, pomoč pri prevzemu in odpremi ter skrb za urejenost prostora. Delo poteka med tednom dopoldne oz. po dogovoru, vikendi so prosti. Zaželena je pozitivna naravnanost ter odnos do dela. ",2,PO DOGOVORU,DOPOLDAN,po dogovoru
PRODAJA,435794,LJUBLJANA,6.2,7.21,"Iščejo polnoletno osebo za pomoč pri prodaji. Iščejo prijazno, zanesljivo osebo, ki ima veselje do dela z ljudmi. Izkušnje z delom v trgovini so prednost. Trgovina je odprta med tednom in sicer med 10. 00 in 18. 00. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
DELO V SKLADIŠČU,435793,LJUBLJANA,7.31,8.5,Potrebujejo osebo za pomoč pri urejanju skladišča v podjetju. ,1,PO DOGOVORU,DOPOLDAN,po dogovoru
SODELOVANJE PRI SNEMANJU,435792,LJUBLJANA,9.47,11.0,"Podjetje išče dve osebi za sodelovanje pri promociji. Vsaj ena izmed dveh oseb mora imeti svoj lastni avto in vozniški izpit (za prevzem materiala). Poleg urne postavke povrnejo še stroške kilometrine (0,25 €/km). Deljenje izdelkov in letakov mora biti posneto, zato morata biti osebi pripravljeni nastopati pred kamero. Vsaj ena oseba mora imeti telefon s kakovostnim snemalnikom zvoka. Potrebujejo surove (raw) posnetke, editiranje le-teh ne bo potrebno. Pošljite prijavo. ",2,DO 6. 9. 2024,PO DOGOVORU,2. 9. 2024
